"nmi","kwh","half_hour_interval","reading_date_time","reading_date","baseload","hvac_action","temperature","humidity"
"1234567890",0,33,"2019-04-04 16:30:00","2019-04-04",1628.9691908200189,"IDLE",20.9,71
"1234567890",0,34,"2019-04-04 17:00:00","2019-04-04",1628.9691908200189,"IDLE",20.6,71
"1234567890",0,35,"2019-04-04 17:30:00","2019-04-04",1628.9691908200189,"IDLE",20.1,74
"1234567890",0,36,"2019-04-04 18:00:00","2019-04-04",1628.9691908200189,"IDLE",19.9,74
"1234567890",0,37,"2019-04-04 18:30:00","2019-04-04",1628.9691908200189,"IDLE",19.5,75
"1234567890",0,38,"2019-04-04 19:00:00","2019-04-04",1628.9691908200189,"IDLE",19.3,75
"1234567890",0,39,"2019-04-04 19:30:00","2019-04-04",1628.9691908200189,"IDLE",18.9,76
"1234567890",0,40,"2019-04-04 20:00:00","2019-04-04",1628.9691908200189,"IDLE",18.5,79
"1234567890",0,41,"2019-04-04 20:30:00","2019-04-04",1628.9691908200189,"IDLE",18.9,78
"1234567890",0,42,"2019-04-04 21:00:00","2019-04-04",1628.9691908200189,"IDLE",18.7,79
"1234567890",0,43,"2019-04-04 21:30:00","2019-04-04",1628.9691908200189,"IDLE",18.5,81
"1234567890",0,44,"2019-04-04 22:00:00","2019-04-04",1628.9691908200189,"IDLE",18.6,82
"1234567890",0,45,"2019-04-04 22:30:00","2019-04-04",1628.9691908200189,"IDLE",18.5,82
"1234567890",0,46,"2019-04-04 23:00:00","2019-04-04",1628.9691908200189,"IDLE",18.2,84
"1234567890",0,47,"2019-04-04 23:30:00","2019-04-04",1628.9691908200189,"IDLE",18,85
"1234567890",0,48,"2019-04-05 00:00:00","2019-04-04",1628.9691908200189,"IDLE",17.7,87
"1234567890",0,1,"2019-04-05 00:30:00","2019-04-05",1414.8797871076042,"IDLE",17.4,89
"1234567890",0,2,"2019-04-05 01:00:00","2019-04-05",1414.8797871076042,"IDLE",17.4,90
"1234567890",0,3,"2019-04-05 01:30:00","2019-04-05",1414.8797871076042,"IDLE",17.4,90
"1234567890",0,4,"2019-04-05 02:00:00","2019-04-05",1414.8797871076042,"IDLE",17.2,90
"1234567890",0,5,"2019-04-05 02:30:00","2019-04-05",1414.8797871076042,"IDLE",17.4,89
"1234567890",0,6,"2019-04-05 03:00:00","2019-04-05",1414.8797871076042,"IDLE",17.5,88
"1234567890",0,7,"2019-04-05 03:30:00","2019-04-05",1414.8797871076042,"IDLE",17.4,87
"1234567890",0,8,"2019-04-05 04:00:00","2019-04-05",1414.8797871076042,"IDLE",17.1,89
"1234567890",0,9,"2019-04-05 04:30:00","2019-04-05",1414.8797871076042,"IDLE",17.1,89
"1234567890",0,10,"2019-04-05 05:00:00","2019-04-05",1414.8797871076042,"IDLE",17.2,90
"1234567890",0,11,"2019-04-05 05:30:00","2019-04-05",1414.8797871076042,"IDLE",17.1,89
"1234567890",0,12,"2019-04-05 06:00:00","2019-04-05",1414.8797871076042,"IDLE",17.3,89
"1234567890",0,13,"2019-04-05 06:30:00","2019-04-05",1414.8797871076042,"IDLE",17.5,87
"1234567890",0,14,"2019-04-05 07:00:00","2019-04-05",1414.8797871076042,"IDLE",17.5,86
"1234567890",0,15,"2019-04-05 07:30:00","2019-04-05",1414.8797871076042,"IDLE",18.1,83
"1234567890",0,16,"2019-04-05 08:00:00","2019-04-05",1414.8797871076042,"IDLE",19.3,80
"1234567890",3.432504696570949,17,"2019-04-05 08:30:00","2019-04-05",1414.8797871076042,"HEATING",19.1,80
"1234567890",6.071363112454067,18,"2019-04-05 09:00:00","2019-04-05",1414.8797871076042,"HEATING",19.4,79
"1234567890",8.146464074372863,19,"2019-04-05 09:30:00","2019-04-05",1414.8797871076042,"HEATING",19.3,81
"1234567890",9.546935271973217,20,"2019-04-05 10:00:00","2019-04-05",1414.8797871076042,"HEATING",19.8,78
"1234567890",8.327914159009842,21,"2019-04-05 10:30:00","2019-04-05",1414.8797871076042,"HEATING",20.4,75
"1234567890",6.356245861626012,22,"2019-04-05 11:00:00","2019-04-05",1414.8797871076042,"HEATING",20.9,72
